batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
83,CrackIVF,16,1312,16,1428,100,10,42,99999,2501.3358310388867,700.1067840028554,684.8584150138777,15.248368988977745,7.045890990411863,0.00011999509297311306,389.31199500802904,286.68256601667963,7.762118999380618,38.214594998862594,1.5772160259075463,1,0.8125,0.85,0.861875
84,CrackIVF,16,1328,16,1428,100,10,42,99999,2507.186544040451,5.850713001564145,1.732334989355877,4.118378012208268,0.0,0.00015099067240953445,0.0,0.0,0.0,0.0,1.727655006106943,1,0.8125,0.90625,0.814375
85,CrackIVF,16,1344,16,1428,100,10,42,99999,2512.6154590398073,5.428914999356493,1.5050959773361683,3.923819022020325,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.5010559873189777,1,1.0,0.8375,0.815625
86,CrackIVF,16,1360,16,1428,100,10,42,99999,2520.7731070404407,8.157648000633344,1.5327260189224035,6.624921981710941,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,1.5286859998013824,1,0.875,0.84375,0.816875
87,CrackIVF,16,1376,16,1428,100,10,42,99999,2528.054457041435,7.28135000099428,1.522965991171077,5.758384009823203,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.5192550199571997,1,0.9375,0.91875,0.853125
88,CrackIVF,16,1392,16,1428,100,10,42,99999,2538.3055090205744,10.251051979139447,1.5352159971371293,8.715835982002318,0.0,0.00016999547369778156,0.0,0.0,0.0,0.0,1.531415997305885,1,1.0,0.9125,0.860625
89,CrackIVF,16,1408,16,1428,100,10,42,99999,2549.515128019266,11.20961899869144,1.5073060058057308,9.702312992885709,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.504184998339042,1,0.9375,0.89375,0.803125
90,CrackIVF,16,1424,16,1428,100,10,42,99999,2564.1763680323493,14.661240013083443,1.5341260004788637,13.12711401260458,0.0,0.00013000681065022945,0.0,0.0,0.0,0.0,1.5304959961213171,1,0.875,0.80625,0.788125
91,CrackIVF,16,1440,16,1428,100,10,42,99999,2576.8960530404,12.719685008050874,1.5435550012625754,11.176130006788298,0.0,0.00015998375602066517,0.0,0.0,0.0,0.0,1.540245022624731,1,0.9375,0.9,0.8475
92,CrackIVF,16,1456,16,1428,100,10,42,99999,2585.200911038555,8.304857998155057,1.5477959823329002,6.757062015822157,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.5444459859281778,1,0.9375,0.86875,0.808125
93,CrackIVF,16,1472,16,1428,100,10,42,99999,2595.603453053627,10.402542015071958,1.5860460116527975,8.81649600341916,0.0,0.0001700245775282383,0.0,0.0,0.0,0.0,1.582576020155102,1,0.9375,0.8875,0.8425
94,CrackIVF,16,1488,16,1428,100,10,42,99999,2604.3758390296716,8.772385976044461,1.5169559919741005,7.255429984070361,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,1.513475988758728,1,0.9375,0.8625,0.824375
95,CrackIVF,16,1504,16,1428,100,10,42,99999,2613.681813032599,9.305974002927542,1.5357059892266989,7.770268013700843,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.532586000394076,1,0.9375,0.9125,0.8475
96,CrackIVF,16,1520,16,1428,100,10,42,99999,2621.3329230376985,7.651110005099326,1.5449259954039007,6.106184009695426,0.0,0.00016999547369778156,0.0,0.0,0.0,0.0,1.5417160175275058,1,0.75,0.85,0.80875
97,CrackIVF,16,1536,16,1428,100,10,42,99999,2631.535975029692,10.203051991993561,1.5381650009658188,8.664886991027743,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.5350650064647198,1,0.9375,0.80625,0.774375
98,CrackIVF,16,1552,16,1428,100,10,42,99999,2642.706374026602,11.17039899691008,1.5799760003574193,9.590422996552661,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.5768659941386431,1,0.9375,0.90625,0.84625
99,CrackIVF,16,1568,16,1428,100,10,42,99999,2653.711294027744,11.004920001141727,1.5571049880236387,9.447815013118088,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.5537349972873926,1,0.8125,0.81875,0.78875
100,CrackIVF,16,1584,16,1428,100,10,42,99999,2665.063402033411,11.352108005667105,1.7949850007425994,9.557123004924506,0.0,0.00016999547369778156,0.0,0.0,0.0,0.0,1.7915850039571524,1,0.875,0.88125,0.79625
101,CrackIVF,16,1600,16,1428,100,10,42,99999,2675.9193620237056,10.85595999029465,1.6230650071520358,9.232894983142614,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.5354960050899535,1,0.875,0.89375,0.83375
102,CrackIVF,16,1616,16,1428,100,10,42,99999,2684.821708011441,8.902345987735316,1.5782949922140688,7.324050995521247,0.0,0.0001500011421740055,0.0,0.0,0.0,0.0,1.5750059974379838,1,0.9375,0.94375,0.875625
103,CrackIVF,16,1632,16,1428,100,10,42,99999,2694.6780110301916,9.856303018750623,1.5245359973050654,8.331767021445557,0.0,0.00014001852832734585,0.0,0.0,0.0,0.0,1.5212960133794695,1,0.9375,0.9,0.855625
104,CrackIVF,16,1648,16,1428,100,10,42,99999,2705.696141027147,11.018129996955395,1.5891560178715736,9.428973979083821,0.0,0.00013998942449688911,0.0,0.0,0.0,0.0,1.5859960112720728,1,0.9375,0.9375,0.853125
105,CrackIVF,16,1664,16,1428,100,10,42,99999,2714.6168470208067,8.920705993659794,1.558655989356339,7.362050004303455,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,1.5552460099570453,1,0.9375,0.8625,0.773125
