batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
13,CrackIVF,16,192,16,308,100,10,42,99999,6163.299100036966,341.87713198480196,335.77398699708283,6.1031449877191335,0.168889993801713,0.0001709850039333105,125.57013900368474,208.23155200923793,4.857559019001201,18.26220701332204,1.6658270033076406,1,0.9375,0.94375,0.865
14,CrackIVF,16,208,16,324,100,10,42,99999,6518.022151052719,354.7230510157533,348.7293660000432,5.993685015710071,0.161419011419639,0.00015998375602066517,125.95806899480522,220.60220199637115,7.657401001779363,17.510728008346632,1.763125997968018,1,1.0,0.925,0.853125
15,CrackIVF,16,224,16,340,100,10,42,99999,6928.604419052135,410.5822679994162,405.64161000656895,4.940657992847264,0.15881902072578669,0.00016999547369778156,182.28267299127765,221.23805101728067,4.70192902139388,19.959691999247298,1.8275159818585962,1,1.0,0.94375,0.9025
16,CrackIVF,16,240,16,356,100,10,42,99999,7325.74575804756,397.14133899542503,371.4205709984526,25.720767996972427,0.15069000073708594,0.00013998942449688911,108.85914001846686,260.6525059964042,4.954937990987673,14.738414000021294,1.6176360077224672,1,0.9375,0.9125,0.874375
17,CrackIVF,16,256,16,372,100,10,42,99999,7726.82428805274,401.07853000517935,387.3093329893891,13.769197015790269,0.155999994603917,0.000200001522898674,131.61296502221376,253.6545729963109,4.526389006059617,16.611580009339377,1.748405979014933,1,0.9375,0.90625,0.885
18,CrackIVF,16,272,16,388,100,10,42,99999,8081.6860290651675,354.86174101242796,346.95897001074627,7.9027710016816854,0.15170901315286756,0.00015998375602066517,117.93591800960712,227.00486599933356,4.616368998540565,16.232952009886503,1.7017960199154913,1,1.0,0.91875,0.83375
19,CrackIVF,16,288,16,404,100,10,42,99999,8423.5490920546,341.86306298943236,336.430855008075,5.432207981357351,0.1854900037869811,0.0001500011421740055,122.54139702417888,211.82274399325252,4.608999006450176,22.66014600172639,1.7462559917476028,1,0.9375,0.95,0.909375
20,CrackIVF,16,304,16,420,100,10,42,99999,8735.26113605476,311.71204400015995,306.4497860032134,5.262257996946573,0.14893000479787588,0.0001500011421740055,104.20701000839472,200.48545999452472,4.20014001429081,18.04052700754255,1.4672859979327768,1,0.9375,0.90625,0.813125
21,CrackIVF,16,320,16,436,100,10,42,99999,9067.744380037766,332.4832439830061,328.4986229846254,3.9846209983807057,0.16769900685176253,0.0001709850039333105,101.4367469761055,225.08827099227346,4.167340026469901,16.442241001641378,1.6603760013822466,1,0.875,0.86875,0.80625
22,CrackIVF,16,336,16,452,100,10,42,99999,9448.542229045415,380.79784900764935,375.1776530116331,5.620195996016264,0.15553997945971787,0.00018000719137489796,142.548468982568,230.58907798258588,6.52377400547266,17.545868002343923,1.7090460169129074,1,1.0,0.93125,0.89875
