batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
3954,CrackIVF,16,63248,16,14023,100,10,42,99999,27083.192907855846,2.8161199879832566,0.9592369897291064,1.8568829982541502,0.0,0.9365769801661372,0.0,0.0,0.0,0.0,0.019719998817890882,1,0.9375,0.91875,0.87125
3955,CrackIVF,16,63264,16,14023,100,10,42,99999,27085.982008837163,2.7891009813174605,0.7908070110715926,1.998293970245868,0.0,0.7720270077697933,0.0,0.0,0.0,0.0,0.01623999560251832,1,0.9375,0.9,0.8475
3956,CrackIVF,16,63280,16,14023,100,10,42,99999,27088.950838835444,2.968829998280853,0.8012370090000331,2.16759298928082,0.0,0.7830079994164407,0.0,0.0,0.0,0.0,0.015789992175996304,1,1.0,0.9375,0.8375
3957,CrackIVF,16,63296,16,14023,100,10,42,99999,27091.883639863227,2.9328010277822614,0.9540170431137085,1.9787839846685529,0.0,0.928117020521313,0.0,0.0,0.0,0.0,0.022620020899921656,1,0.9375,0.90625,0.84375
3958,CrackIVF,16,63312,16,14023,100,10,42,99999,27094.991959864274,3.1083200010471046,0.799918023403734,2.3084019776433706,0.0,0.780557980760932,0.0,0.0,0.0,0.0,0.016579986549913883,1,1.0,0.88125,0.80875
3959,CrackIVF,16,63328,16,14023,100,10,42,99999,27098.082959884778,3.091000020503998,0.794538005720824,2.296462014783174,0.0,0.7753869867883623,0.0,0.0,0.0,0.0,0.016568985302001238,1,1.0,0.95625,0.889375
3960,CrackIVF,16,63344,16,14023,100,10,42,99999,27101.047770876903,2.9648109921254218,0.9494069963693619,2.01540399575606,0.0,0.9269669535569847,0.0,0.0,0.0,0.0,0.019549974240362644,1,0.9375,0.85625,0.801875
3961,CrackIVF,16,63360,16,14023,100,10,42,99999,27104.082610923797,3.0348400468938053,0.9794069919735193,2.055433054920286,0.0,0.9568070527166128,0.0,0.0,0.0,0.0,0.01951999729499221,1,0.9375,0.875,0.8275
3962,CrackIVF,16,63376,16,14023,100,10,42,99999,27107.023001881316,2.940390957519412,0.8023479604162276,2.1380429971031845,0.0,0.7833379786461592,0.0,0.0,0.0,0.0,0.016470032278448343,1,0.875,0.90625,0.825
3963,CrackIVF,16,63392,16,15848,100,10,42,99999,27977.403916884214,870.3809150028974,868.5909109772183,1.7900040256790817,14.527263003401458,0.0002100132405757904,221.03635303210467,632.4765770114027,5.440602020826191,14.58067202474922,0.019780010916292667,1,0.9375,0.89375,0.814375
