algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
faiss-ivf,"FaissIVF(n_list=1024, n_probe=50)",10,0.99246,0.99916,1.0,0.08937816207183723,269.7367194503938,3.7168264389038086,4.655170440673827,5.1152777671813965,5.404712438583374,52775.9717,32.317951917648315,10.0,701844.0,2601.9594270667076,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=80)",10,0.99971,0.9999800000000001,1.0,0.08935464546538616,96.6738586589291,10.717988014221191,11.872613430023192,12.375874519348146,14.639320850372352,160573.476,11.267282009124756,10.0,700224.0,7243.157661373901,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=1024, n_probe=1)",10,0.37066,0.43753000000000003,0.93299,0.09493848676212213,5298.398607508957,0.17976760864257812,0.263214111328125,0.32473087310791027,0.3786096572875979,2117.1723,32.317951917648315,10.0,701844.0,132.46341998605726,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=1024, n_probe=100)",10,0.9990600000000001,0.9999499999999999,1.0,0.08935654396155529,147.42268915234217,6.778717041015625,8.020198345184324,8.433597087860107,9.668869495391855,102310.697,32.317951917648315,10.0,701844.0,4760.759717757797,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=10)",10,0.92045,0.9736,0.99999,0.0896827281654132,720.0889411917968,1.3937950134277344,1.9004583358764644,2.0453953742980957,2.175571441650391,21565.56,11.267282009124756,10.0,700224.0,972.413211680603,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=128, n_probe=5)",10,0.92082,0.9717399999999999,0.9999399999999999,0.08969736446329235,366.99540649377116,2.7151107788085938,3.4945249557495113,3.719332218170166,4.93313264846802,42403.1812,2.8346168994903564,10.0,706024.0,1923.7951960905075,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=64, n_probe=50)",10,1.0,1.0,1.0,0.08935400220785608,23.540059216457347,43.418288230895996,46.0338830947876,47.36857891082764,64.33880400657661,723680.8022,2.0550167560577393,10.0,720624.0,30612.667256851957,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=256, n_probe=5)",10,0.86837,0.94241,0.99996,0.08995227533162993,515.6774563349427,1.9315481185913086,2.6831746101379395,2.8815364837646484,3.0701193809509286,21487.6594,4.7135539054870605,10.0,705836.0,1368.754812390995,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=512, n_probe=200)",10,1.0,1.0,1.0,0.08935400220785608,44.17354689566765,22.62747287750244,23.42679500579834,23.87195587158203,27.896346092224157,387977.6871,11.267282009124756,10.0,700224.0,15851.658949955747,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=2048, n_probe=5)",10,0.6850799999999999,0.78862,0.99947,0.09104368985817937,2968.718879018256,0.3285408020019531,0.4963874816894531,0.577216148376465,0.6802184581756613,4798.9574,105.08828806877136,10.0,701496.0,236.29586652946475,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=32, n_probe=50)",10,1.0,1.0,1.0,0.08935400220785608,13.573805621301172,79.25891876220703,79.63347434997559,79.96395111083984,86.70212197303772,1000032.0,1.5281593799591064,10.0,717156.0,52833.81978555651,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=1)",10,0.28162,0.33133,0.84677,0.09673054709443456,3374.248833538986,0.293731689453125,0.32402276992797835,0.3447580337524415,0.3802781105041505,4375.0253,365.5805058479309,10.0,700384.0,207.56738300933839,sift-128-euclidean
faiss-ivf,"FaissIVF(n_list=4096, n_probe=80)",10,0.9830099999999999,0.9977199999999999,1.0,0.08940754914835254,567.1297313533241,1.7284154891967773,2.315521240234375,2.684161663055421,3.4360928535461435,25477.7037,365.5805058479309,10.0,700384.0,1234.9625866531374,sift-128-euclidean
